Loại Văn Bản,Nơi Ban Hành,Số Hiệu,Hiệu lực,Lĩnh Vực,Ngày Ban Hành,Chủ Đề,Hiệu Lực
Thông tư,Bộ Y tế,57/2015/TT-BYT, Không còn phù hợp,Y tế-Sức khỏe,30/12/2015,Thông tư 57/2015/TT-BYT của Bộ Y tế về việc quy định chi tiết một số điều của Nghị định 10/2015/NĐ-CP ngày 28/01/2015 của Chính phủ quy định về sinh con bằng kỹ thuật thụ tinh trong ống nghiệm và điều kiện mang thai hộ vì mục đích nhân đạo,
Thông tư,Bộ Tư pháp,04/2020/TT-BTP,hết hiệu lực một phần,Tư pháp-Hộ tịch,28/05/2020,QUY ĐỊNH CHI TIẾT THI HÀNH MỘT SỐ ĐIỀU CỦA LUẬT HỘ TỊCH VÀ NGHỊ ĐỊNH SỐ 123/2015/NĐ-CP NGÀY 15 THÁNG 11 NĂM 2015 CỦA CHÍNH PHỦ QUY ĐỊNH CHI TIẾT MỘT SỐ ĐIỀU VÀ BIỆN PHÁP THI HÀNH LUẬT HỘ TỊCH,
Nghị định,Chính phủ,167/2013/NĐ-CP,Hết Hiệu lực,"An ninh trật tự, Vi phạm hành chính",12/11/2013,"QUY ĐỊNH XỬ PHẠT VI PHẠM HÀNH CHÍNH TRONG LĨNH VỰC AN NINH, TRẬT TỰ, AN TOÀN XÃ HỘI; PHÒNG, CHỐNG TỆ NẠN XÃ HỘI; PHÒNG CHÁY VÀ CHỮA CHÁY; PHÒNG, CHỐNG BẠO LỰC GIA ĐÌNH",
Nghị định,Chính phủ,08/2009/NĐ-CP,Hết Hiệu lực,"Y tế-Sức khỏe, Hôn nhân gia đình",04/02/2009,"QUY ĐỊNH CHI TIẾT VÀ HƯỚNG DẪN THI HÀNH MỘT SỐ ĐIỀU CỦA LUẬT PHÒNG, CHỐNG BẠO LỰC GIA ĐÌNH",
Văn bản hợp nhất,Bộ Tư pháp,951/VBHN-BTP,Không còn phù hợp,Quyền dân sự,21/03/2019,QUY ĐỊNH CHI TIẾT THI HÀNH MỘT SỐ ĐIỀU CỦA LUẬT NUÔI CON NUÔI,
Nghị định,Chính phủ,82/2020/NĐ-CP,hết hiệu lực một phần,"Doanh nghiệp, Tư pháp-Hộ tịch, Vi phạm hành chính, Hôn nhân gia đình, Dân sự",15/07/2020,"QUY ĐỊNH XỬ PHẠT VI PHẠM HÀNH CHÍNH TRONG LĨNH VỰC BỔ TRỢ TƯ PHÁP; HÀNH CHÍNH TƯ PHÁP; HÔN NHÂN VÀ GIA ĐÌNH; THI HÀNH ÁN DÂN SỰ; PHÁ SẢN DOANH NGHIỆP, HỢP TÁC XÃ",
Nghị định,Chính phủ,123/2015/NĐ-CP,hết hiệu lực một phần,Tư pháp-Hộ tịch,15/11/2015,QUY ĐỊNH CHI TIẾT MỘT SỐ ĐIỀU VÀ BIỆN PHÁP THI HÀNH LUẬT HỘ TỊCH,
Nghị định,Chính phủ,87/2020/NĐ-CP,hết hiệu lực một phần,Tư pháp-Hộ tịch,28/07/2020,"QUY ĐỊNH VỀ CƠ SỞ DỮ LIỆU HỘ TỊCH ĐIỆN TỬ, ĐĂNG KÝ HỘ TỊCH TRỰC TUYẾN",
Nghị định,Chính phủ,126/2014/NĐ-CP,hết hiệu lực một phần,Hôn nhân gia đình,31/12/2014,QUY ĐỊNH CHI TIẾT MỘT SỐ ĐIỀU VÀ BIỆN PHÁP THI HÀNH LUẬT HÔN NHÂN VÀ GIA ĐÌNH,
Văn bản hợp nhất,Bộ Y tế,38/2025/TT-BYT,Còn hiệu lực,Y tế-Sức khỏe,13/08/2025,QUY ĐỊNH VỀ SINH CON BẰNG KỸ THUẬT HỖ TRỢ SINH SẢN VÀ ĐIỀU KIỆN MANG THAI HỘ VÌ MỤC ĐÍCH NHÂN ĐẠO,
Luật,Quốc hội,13/2022/QH15,Còn hiệu lực,"Chính sách, Hôn nhân gia đình",14/11/2022,"PHÒNG, CHỐNG BẠO LỰC GIA ĐÌNH",
Luật,Quốc hội,52/2010/QH12,Còn hiệu lực,"Chính sách, Lĩnh vực khác, Dân sự",17/06/2010,NUÔI CON NUÔI,
Luật,Quốc hội,60/2014/QH13,Còn hiệu lực,Tư pháp-Hộ tịch,20/11/2014,HỘ TỊCH,
Luật,Quốc hội,52/2014/QH13,Hết Hiệu lực một phần,Hôn nhân gia đình,19/06/2014,HÔN NHÂN VÀ GIA ĐÌNH,
Thông tư liên tịch,"Bộ Tư pháp, Tòa án nhân dân tối cao, Viện kiểm sát nhân dân tối cao",01/2016/TTLT-TANDTC-VKSNDTC-BTP,,"Tư pháp-Hộ tịch, Chính sách, Hôn nhân gia đình",06/01/2016,"Thông tư liên tịch 01/2016/TTLT-TANDTC-VKSNDTC-BTP của Tòa án nhân dân tối cao, Viện kiểm sát nhân dân tối cao, Bộ Tư pháp về việc hướng dẫn thi hành một số quy định của Luật Hôn nhân và Gia đình",Còn Hiệu lực
Thông tư,Bộ Tư pháp,01/2022/TT-BTP,,Tư pháp-Hộ tịch,04/01/2022,"Thông tư 01/2022/TT-BTP của Bộ Tư pháp về việc quy định chi tiết một số điều và biện pháp thi hành Nghị định 87/2020/NĐ-CP ngày 28/7/2020 của Chính phủ quy định về Cơ sở dữ liệu hộ tịch điện tử, đăng ký hộ tịch trực tuyến",Hết Hiệu lực một phần
Nghị quyết,Hội đồng Thẩm phán Tòa án nhân dân tối cao,01/2024/NQ-HĐTP,,"Tư pháp-Hộ tịch, Hôn nhân gia đình, Dân sự",16/05/2024,Nghị quyết 01/2024/NQ-HĐTP của Hội đồng Thẩm phán Tòa án nhân dân tối cao hướng dẫn áp dụng một số quy định của pháp luật trong giải quyết vụ việc về hôn nhân và gia đình,Còn Hiệu lực
