stt,số ký hiệu,số ký hiệu văn bản liên quan,mối quan hệ
1,57/2015/TT-BYT,10/2015/NĐ-CP,Văn bản được hướng dẫn
3,57/2015/TT-BYT,12/2012/TT-BYT,Văn bản hết hiệu lực một phần
6,57/2015/TT-BYT,38/2025/TT-BYT,Văn bản quy định hết hiệu lực một phần
10,04/2020/TT-BTP,123/2015/NĐ-CP,Văn bản được hướng dẫn
11,04/2020/TT-BTP,60/2014/QH13,Văn bản được hướng dẫn
13,04/2020/TT-BTP,08/2025/TT-BTP,"Văn bản sửa đổi, bổ sung"
14,04/2020/TT-BTP,04/2024/TT-BTP,"Văn bản sửa đổi, bổ sung"
19,04/2020/TT-BTP,09/2022/TT-BTP,Văn bản quy định hết hiệu lực một phần
23,04/2020/TT-BTP,123/2015/NĐ-CP,Văn bản căn cứ
24,04/2020/TT-BTP,60/2014/QH13,Văn bản căn cứ
25,04/2020/TT-BTP,52/2014/QH13,Văn bản dẫn chiếu
27,167/2013/NĐ-CP,15/2012/QH13,Văn bản được hướng dẫn
28,167/2013/NĐ-CP,53/2010/QH12,Văn bản được hướng dẫn
29,167/2013/NĐ-CP,02/2007/QH12,Văn bản được hướng dẫn
30,167/2013/NĐ-CP,81/2006/QH11,Văn bản được hướng dẫn
31,167/2013/NĐ-CP,10/2003/PL-UBTVQH11,Văn bản được hướng dẫn
34,167/2013/NĐ-CP,23/2000/QH10,Văn bản được hướng dẫn
37,167/2013/NĐ-CP,110/2009/NĐ-CP,Văn bản hết hiệu lực 
43,167/2013/NĐ-CP,15/2012/QH13,Văn bản căn cứ
44,167/2013/NĐ-CP,16/2011/UBTVQH12,Văn bản căn cứ
45,167/2013/NĐ-CP,53/2010/QH12,Văn bản căn cứ
47,167/2013/NĐ-CP,02/2007/QH12,Văn bản căn cứ
48,167/2013/NĐ-CP,81/2006/QH11,Văn bản căn cứ
49,167/2013/NĐ-CP,10/2003/PL-UBTVQH11,Văn bản căn cứ
53,167/2013/NĐ-CP,23/2000/QH10,Văn bản căn cứ
